Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2024-09-20,"Neck Press",5.7,"LRS w/ Revo. Sick climb, awesome movement throughout! Don't dodge the off width/chimney on P2 by going right to those flakes, the pro is garbage and there's a wonderful hidden hand crack if you go straight up. P3 is well worth it, should be climbed more. ",https://www.mountainproject.com/route/106456586/neck-press,6,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",2.9,-1,Lead,Onsight,Trad,,200,1800
2024-09-20,Prune,5.7,"LRS w/ Revo. Just the last two pitches, linked them together into a rope stretcher 40m pitch! Pitch 3 was sweet, took the direct var. ",https://www.mountainproject.com/route/106267363/prune,2,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",2.9,-1,Lead,Onsight,Trad,,320,1800
2024-09-19,"La Bella Vista",5.10-,"Followed Matt on P1 and led P2. Rowdy!! Climbed into the sunset and saw a bald eagle fly through Roy gap from the top of P2 ",https://www.mountainproject.com/route/110598616/la-bella-vista,2,"West Virginia > Seneca Rocks > South End",3.1,4,Lead,Onsight,Trad,,160,2700
2024-09-16,"Old Ladies Route",5.2,"With Joe!",https://www.mountainproject.com/route/106587097/old-ladies-route,3,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",2.7,-1,Lead,Redpoint,Trad,,,1200
2024-09-16,"Traffic Jam",5.7+,"Sick climb! One TR pitch to clean since Joe couldn't get up it. TR pitch I didn't use the back wall or the arete for fun",https://www.mountainproject.com/route/105917539/traffic-jam,2,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",3.3,-1,Lead,Onsight,Trad,,60,1900
2024-09-15,"5.7 trad",5.7,"Millennium at NRocks W/ Mack. Linked first two pitches (EZ Wider). Barely beat the 9am via! Flying squirrel nest in the last pitch crack, disturbed the poor dudes nap",https://www.mountainproject.com/route/112166285/57-trad,7,"* In Progress > Generic Area",3.0,-1,Lead,Redpoint,Trad,,,1800
2024-09-12,"Green Wall",5.7,Guiding,https://www.mountainproject.com/route/105917255/green-wall,3,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",3.4,-1,Lead,Redpoint,Trad,,,1800
2024-09-12,"Ecstasy Junior",5.4,Guiding,https://www.mountainproject.com/route/106044673/ecstasy-junior,2,"West Virginia > Seneca Rocks > South Peak - West Face > Southwest Corner",2.9,-1,Lead,Redpoint,Trad,,160,1400
2024-09-11,"Conn's West",5.4,Guiding,https://www.mountainproject.com/route/105977724/conns-west,3,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",2.9,-1,Lead,Redpoint,Trad,,200,1400
2024-09-10,"Old Man's Route",5.2,"Guiding. Just the last two pitches after rapping Conn's",https://www.mountainproject.com/route/105917543/old-mans-route,2,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",2.7,-1,Lead,Redpoint,Trad,,,1200
2024-09-10,"Gunsight to South Peak",5.4,Guiding,https://www.mountainproject.com/route/105924140/gunsight-to-south-peak,3,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",3.7,-1,Lead,Redpoint,Trad,,150,1400
2024-09-10,"Worrell's Thicket",5.0,Guiding,https://www.mountainproject.com/route/110726960/worrells-thicket,2,"West Virginia > Seneca Rocks > South Peak - East Face > Southeast Corner",2.0,-1,Lead,Redpoint,Trad,,160,1000
2024-09-08,"Gunsight To North Peak",5.0,"Chill scramble day",https://www.mountainproject.com/route/112834382/gunsight-to-north-peak,4,"West Virginia > Seneca Rocks > North Peak - East Face",1.8,-1,Solo,,Trad,,500,1000
2024-09-08,"Worrell's Thicket",5.0,"Chill scramble day",https://www.mountainproject.com/route/110726960/worrells-thicket,2,"West Virginia > Seneca Rocks > South Peak - East Face > Southeast Corner",2.0,-1,Solo,,Trad,,160,1000
2024-09-06,"Old Man's Route",5.2,"Carrying up the portaledge to sleep from the orange aid anchors!",https://www.mountainproject.com/route/105917543/old-mans-route,3,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",2.7,-1,Lead,Redpoint,Trad,,,1200
2024-09-05,"Old Man's Route",5.2,Guiding,https://www.mountainproject.com/route/105917543/old-mans-route,4,"West Virginia > Seneca Rocks > South Peak - West Face > South Peak West Face (Main Area)",2.7,-1,Lead,Redpoint,Trad,,,1200
